id,date,element,value
MX000017004,2010-04-1,PRCP,0
MX000017004,2010-02-2,TMAX,273
MX000017004,2010-02-2,TMIN,144
MX000017004,2010-02-2,PRCP,0
MX000017004,2010-03-2,PRCP,0
MX000017004,2010-04-3,PRCP,0
MX000017004,2010-02-4,TMAX,241
MX000017004,2010-02-4,TMIN,144
MX000017004,2010-02-4,PRCP,0
MX000017004,2010-03-4,PRCP,0
MX000017004,2010-05-4,PRCP,0
MX000017004,2010-01-5,PRCP,0
MX000017004,2010-03-5,TMAX,321
MX000017004,2010-03-5,TMIN,142
MX000017004,2010-03-6,PRCP,0
MX000017004,2010-04-6,PRCP,0
MX000017004,2010-05-6,PRCP,0
MX000017004,2010-01-7,PRCP,0
MX000017004,2010-02-7,PRCP,0
MX000017004,2010-03-8,PRCP,0
MX000017004,2010-05-8,PRCP,0
MX000017004,2010-02-9,PRCP,0
MX000017004,2010-03-10,TMAX,345
MX000017004,2010-03-10,TMIN,168
MX000017004,2010-02-11,PRCP,0
MX000017004,2010-03-11,PRCP,0
MX000017004,2010-05-11,PRCP,0
MX000017004,2010-01-12,PRCP,0
MX000017004,2010-02-12,TMAX,297
MX000017004,2010-02-12,TMIN,134
MX000017004,2010-02-13,PRCP,0
MX000017004,2010-03-13,PRCP,0
MX000017004,2010-05-13,PRCP,0
MX000017004,2010-01-14,PRCP,0
MX000017004,2010-02-15,PRCP,0
MX000017004,2010-03-15,PRCP,0
MX000017004,2010-01-16,PRCP,0
MX000017004,2010-03-16,TMAX,311
MX000017004,2010-03-16,TMIN,176
MX000017004,2010-03-17,PRCP,0
MX000017004,2010-05-18,PRCP,0
MX000017004,2010-01-19,PRCP,0
MX000017004,2010-03-19,PRCP,0
MX000017004,2010-05-20,PRCP,0
MX000017004,2010-01-21,PRCP,0
MX000017004,2010-02-22,PRCP,0
MX000017004,2010-03-22,PRCP,0
MX000017004,2010-01-23,PRCP,0
MX000017004,2010-02-24,TMAX,299
MX000017004,2010-02-24,TMIN,107
MX000017004,2010-03-24,PRCP,0
MX000017004,2010-01-25,PRCP,0
MX000017004,2010-02-25,PRCP,0
MX000017004,2010-03-26,PRCP,0
MX000017004,2010-01-27,PRCP,0
MX000017004,2010-02-27,PRCP,0
MX000017004,2010-04-27,TMAX,363
MX000017004,2010-04-27,TMIN,167
MX000017004,2010-04-27,PRCP,0
MX000017004,2010-05-27,TMAX,332
MX000017004,2010-05-27,TMIN,182
MX000017004,2010-05-27,PRCP,0
MX000017004,2010-03-28,PRCP,0
MX000017004,2010-01-29,PRCP,0
MX000017004,2010-05-29,PRCP,25
MX000017004,2010-01-30,TMAX,278
MX000017004,2010-01-30,TMIN,145
MX000017004,2010-04-30,PRCP,0
MX000017004,2010-01-31,PRCP,0
MX000017004,2010-03-31,PRCP,0
MX000017004,2010-05-31,PRCP,0
