MX000017004201001TMAX,MX000017004201001TMIN,MX000017004201001PRCP,MX000017004201002TMAX,MX000017004201002TMIN,MX000017004201002PRCP,MX000017004201003TMAX,MX000017004201003TMIN,MX000017004201003PRCP,MX000017004201004TMAX,MX000017004201004TMIN,MX000017004201004PRCP,MX000017004201005TMAX,MX000017004201005TMIN,MX000017004201005PRCP
-9999,-9999,-9999,273,144,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999
-9999,-9999,-9999,S,S,S,-9999,-9999,S-9999,-9999,-9999,S-9999,-9999,-9999,-9999
-9999,-9999,-9999,241,144,0,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0
-9999,-9999,0,S-9999,S-9999,S-9999,321,142,S,-9999,-9999,S-9999,-9999,-9999,S-9999
-9999,-9999,S-9999,-9999,-9999,-9999,S-9999,S-9999,0,-9999,-9999,-9999,-9999,-9999,0
-9999,-9999,0,-9999,-9999,0,-9999,-9999,S,-9999,-9999,0,-9999,-9999,S-9999
-9999,-9999,S-9999,-9999,-9999,S,-9999,-9999,0,-9999,-9999,S-9999,-9999,-9999,0
-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,S-9999,-9999,-9999,-9999,-9999,-9999,S-9999
-9999,-9999,-9999,-9999,-9999,S-9999,345,168,-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,0,S-9999,S-9999,0,-9999,-9999,-9999,-9999,-9999,0
-9999,-9999,0,297,134,S-9999,-9999,-9999,S,-9999,-9999,-9999,-9999,-9999,S-9999
-9999,-9999,S-9999,S-9999,S-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,0
-9999,-9999,0,-9999,-9999,S-9999,-9999,-9999,S,-9999,-9999,-9999,-9999,-9999,S-9999
-9999,-9999,S,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,0,-9999,-9999,S-9999,311,176,S,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,S-9999,-9999,-9999,-9999,S-9999,S-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,S,-9999,-9999,-9999,-9999,-9999,0
-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,S-9999
-9999,-9999,S,-9999,-9999,-9999,-9999,-9999,S-9999,-9999,-9999,-9999,-9999,-9999,0
-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,S-9999
-9999,-9999,S,-9999,-9999,0,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,0,-9999,-9999,S-9999,-9999,-9999,S,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,S,299,107,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,0,S-9999,S-9999,0,-9999,-9999,S-9999,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,S,-9999,-9999,S-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999
-9999,-9999,0,-9999,-9999,0,-9999,-9999,S,363,167,-9999,332,182,0
-9999,-9999,S,-9999,-9999,S-9999,-9999,-9999,0,S-9999,S-9999,0,S-9999,S-9999,S-9999
-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,S-9999,-9999,-9999,S-9999,-9999,-9999,25
278,145,S-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,S
S-9999,S-9999,0,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,0,-9999,-9999,0
,,S,-9999,-9999,-9999,,,S-9999,,,S-9999,,,S-9999
,,0,,,-9999,,,-9999,,,,,,
,,S,,,,,,0,,,,,,
,,0,,,,,,S,,,,,,
,,S,,,,,,0,,,,,,
,,0,,,,,,S-9999,,,,,,
,,S,,,,,,-9999,,,,,,
,,0,,,,,,0,,,,,,
,,S,,,,,,S-9999,,,,,,
,,0,,,,,,,,,,,,
,,S-9999,,,,,,,,,,,,
